zip,count
73461,2
73460,2
97430,2
24459,2
24450,34
48421,19
12477,56
48420,48
12474,2
36445,13
12475,1
36446,1
48418,7
61490,3
12480,4
48417,5
61491,6
48416,9
48415,14
12483,1
48414,2
12484,4
48413,12
97424,36
12481,6
48412,10
12482,1
97426,30
24465,3
24464,1
97420,67
24467,4
97423,16
48419,5
24460,3
12487,6
36432,5
12485,3
12486,4
36436,1
12489,1
36439,1
24439,1
97458,12
12451,6
97457,25
48401,3
36420,41
97459,36
L1S 5Y5,1
24432,1
97454,4
24431,9
97453,1
97456,11
24433,1
97455,5
97450,2
24435,2
73481,3
24437,2
97451,1
24430,2
36421,33
12455,5
12452,2
12458,4
36425,1
12459,2
36426,42
12456,1
12457,2
12461,7
97447,2
97446,9
97449,7
97448,24
97443,3
97442,6
24445,8
97444,14
97441,1
24448,1
73491,2
24441,11
24440,1
12466,4
12463,7
12464,1
12469,2
12468,2
61401,66
61410,17
61412,3
61413,3
61414,1
61415,3
61416,1
73401,110
61420,3
61421,2
61422,6
61423,1
61424,1
61427,4
61428,6
61430,5
61432,1
61434,5
61436,2
61437,2
61438,3
48476,1
48473,64
48472,1
48471,8
48470,1
12603,98
12601,69
48626,13
48625,43
48624,50
48623,23
48622,11
48621,4
24651,6
24656,7
48629,26
48628,4
10019,139
10018,36
10011,155
10010,78
10013,66
10012,67
10014,89
10017,49
10016,183
48616,13
48615,4
48614,1
48613,2
48612,28
48611,16
48610,9
22003,133
48619,1
48618,12
48617,17
10029,38
10022,79
10021,74
10024,75
10023,83
10026,29
10025,87
10028,78
10027,36
24637,10
48604,26
48603,46
24639,1
48602,75
48601,79
24630,10
24631,1
24634,1
48609,23
48607,3
24635,1
24649,1
24641,14
24646,2
10007,28
36617,18
36618,60
10009,71
36619,55
10002,69
36610,11
10001,88
36611,15
10004,17
36612,3
10003,141
36613,39
10006,21
10005,53
24614,8
36605,78
36606,54
36607,11
36608,101
36609,67
36602,4
36603,7
36604,32
24627,1
24620,2
24622,1
24605,18
24604,1
24606,2
24609,6
24603,1
24602,1
73548,1
73547,2
61560,3
73546,1
61561,4
73543,3
61564,2
73542,7
73541,7
73540,2
61567,1
61568,6
61569,1
85539,15
85536,2
85533,7
85534,4
85531,3
85532,3
73559,1
61570,4
61571,64
73557,1
97502,51
61572,4
97501,108
97504,117
73554,9
97503,23
73552,3
73550,1
97539,13
97538,6
36580,23
73569,1
36582,85
73568,5
97535,11
36583,1
73567,2
97534,1
36584,1
73566,6
97537,25
97536,1
24597,5
73564,1
97531,3
97530,19
24599,1
73562,1
24598,1
97532,5
73560,3
24590,24
24593,5
24592,17
24594,7
85553,9
36587,31
85554,4
85551,3
85552,25
85550,3
97527,70
36571,66
97524,47
36572,25
97523,11
97526,90
36574,5
97525,14
97520,82
73573,2
97522,1
73572,15
73571,1
73570,4
85546,70
85544,36
85545,4
36575,86
36576,25
85543,8
85540,1
36578,11
85541,120
36579,7
12590,70
36560,8
12594,6
36561,115
36562,8
12592,3
24574,11
24577,8
24579,3
24571,9
24570,2
24572,51
